Tag Number,Description,Locatoion Dept,Location Costcenter,Location Section,Location Main,Date Placed In Service,Current Units SUM,Cost SUM,Book Value SUM,Boi,Boi Number
CP06-45-0006,POWER AMP ยี่ห้อ MODIFY รุ่นME-500 MF,ฝ่ายบริหารทรัพยากรบุคคล,2105,5252,บำรุงสถานที่,03-25-02,1,24766.36,1,NON BOI,NULL
CP06-37-0209,เก้าอี้บุหนังเทียม,ฝ่ายจัดซื้อทั่วไป,1002,7240,อาคารคลังพัสดุ,06-14-94,1,1520,1,NON BOI,NULL
CP06-38-0314,เก้าอี้ทำงานบุผ้าฝ้าย 300/4,ฝ่ายบริหารทรัพยากรบุคคล,2107,5221,ประชุมสัมมนา,09-13-95,1,2356,1,NON BOI,NULL
CP06-40-0044,เก้าอี้ทำงานบุผ้าฝ้าย,ฝ่ายบริหารคลัง&สารสนเทศการผลิต,2204,1420,อาคารโรงงาน 4,02-28-97,1,4640,1,NON BOI,NULL
CP06-36-0014,ชั้นวางเอกสาร,ฝ่ายบัญชี,1011,7170,อาคารสำนักงาน,01-26-93,1,2160,1,NON BOI,NULL
CP16-55-0005,งานปรับปรุง Line  แกะกุ้งโรงงาน 1,ฝ่ายผลิต,5001,2113,อาคารโรงงาน 2,07-31-12,1,510093.46,1,NON BOI,NULL
CP07-54-0106,Hp Laser pro P1606dn CE749A (QC F.4),ระบบเทคโนโลยีสารสนเทศ,1003,4161,อาคารโรงงาน 4,12-29-11,1,11800,1,NON BOI,NULL
CP07-56-0052,Computer Dell Optiplex 7010 (หัวหน้าแผนก Technical Support ชุมพร),ระบบเทคโนโลยีสารสนเทศ,1003,7240,อาคารคลังพัสดุ,12-03-13,1,23300,1,NON BOI,NULL
CP13-59-0037,เครื่องปรับอากาศ Mitsubishi INVERTER ขนาด 12000btu รุ่น MSY/MUY-GM13VF,ฝ่ายบริหารทรัพยากรบุคคล,2106,5221,หอพักผู้บริหาร,11-30-16,1,20400,11537.2,NON BOI,NULL
CP04-61-0305,Stacking Pallet Size W.1400xD.1300xH.1500mm.,ฝ่ายบริหารคลัง&สารสนเทศการผลิต,2204,1420,อาคารโรงงาน 4,07-24-18,1,5600,5010.96,NON BOI,NULL
BK06-39-0412,CABINET PD-463,ฝ่ายฟาร์มกุ้ง,3001,6560,อาคารสำนักงาน,06-10-96,1,3040,1,NON BOI,NULL
CP06-39-0056,โต๊ะทำงานขาเหล็กสีเทา150X75X75,ฝ่ายผลิต,5411,4110,อาคารโรงงาน 4,05-15-96,1,4539.6,1,NON BOI,NULL
CP06-55-0050,ตู้ล็อคเกอร์แบบบานเปิด แบบ 6 ประตู (สีเทา),ฝ่ายบริหารทรัพยากรบุคคล,2104,5221,หอพักพนักงานรายวัน - รายเดือน,04-09-12,1,4320,1,NON BOI,NULL
